Tyè 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
573,4534714;1,041350531;;581,1695126;893,5546875;0,893554688;;538,5916371;0,972025496;;;;;;;;;;;;;;;;;;;;;;;
573,0219103;1,047040971;;581,3902408;898,4375;0,8984375;;538,6975607;0,977337111;;;;;;;;;;;;;;;;;;;;;;;
572,8311943;1,052731411;;581,6012437;903,3203125;0,903320313;;538,9744206;0,982648725;;;;;;;;;;;;;;;;;;;;;;;
572,8414797;1,058421851;;581,8746183;908,203125;0,908203125;;539,2160196;0,98796034;;;;;;;;;;;;;;;;;;;;;;;
573,0707015;1,064112291;;582,2452799;913,0859375;0,913085938;;539,6637212;0,993271955;;;;;;;;;;;;;;;;;;;;;;;
573,1273775;1,069802731;;582,2582857;917,96875;0,91796875;;539,5269619;0,998583569;;;;;;;;;;;;;;;;;;;;;;;
573,5829648;1,075493171;;582,1337925;922,8515625;0,922851563;;539,4513359;1,003895184;;;;;;;;;;;;;;;;;;;;;;;
574,1988584;1,081183612;;581,5109019;927,734375;0,927734375;;539,4272216;1,009206799;;;;;;;;;;;;;;;;;;;;;;;
574,5590868;1,086874052;;585,9617578;932,6171875;0,932617188;;539,2954774;1,014518414;;;;;;;;;;;;;;;;;;;;;;;
575,1386729;1,092564492;;586,1682314;937,5;0,9375;;539,6745549;1,019830028;;;;;;;;;;;;;;;;;;;;;;;
575,6032389;1,098254932;;586,7837909;942,3828125;0,942382813;;540,0109219;1,025141643;;;;;;;;;;;;;;;;;;;;;;;
575,4656872;1,103945372;;587,1413642;947,265625;0,947265625;;540,2676725;1,030453258;;;;;;;;;;;;;;;;;;;;;;;
575,8353299;1,109635812;;582,8764172;952,1484375;0,952148438;;537,2631947;1,035764873;;;;;;;;;;;;;;;;;;;;;;;
575,0754589;1,115326252;;583,7078053;957,03125;0,95703125;;537,7814925;1,041076487;;;;;;;;;;;;;;;;;;;;;;;
574,9707102;1,121016692;;584,3279109;961,9140625;0,961914063;;538,4301846;1,046388102;;;;;;;;;;;;;;;;;;;;;;;
574,7639766;1,126707132;;584,8801733;966,796875;0,966796875;;539,3918156;1,051699717;;;;;;;;;;;;;;;;;;;;;;;
574,4943991;1,132397572;;585,022386;971,6796875;0,971679688;;539,9988504;1,057011331;;;;;;;;;;;;;;;;;;;;;;;
575,0281068;1,138088012;;585,0405086;976,5625;0,9765625;;540,453413;1,062322946;;;;;;;;;;;;;;;;;;;;;;;
